TAZID,ALLEMP_Max,ALLEMP_Min,AVGINCOME_Max,AVGINCOME_Min,Enrol_Elem_Max,Enrol_Elem_Min,Enrol_High_Max,Enrol_High_Min,Enrol_Midl_Max,Enrol_Midl_Min,FM_AGRI_Max,FM_AGRI_Min,FM_CONS_Max,FM_CONS_Min,FM_MING_Max,FM_MING_Min,FOOD_Max,FOOD_Min,GVED_Max,GVED_Min,HBJ_Max,HBJ_Min,HHPOP_Max,HHPOP_Min,HHSIZE_Max,HHSIZE_Min,HLTH_Max,HLTH_Min,INDEMP_Max,INDEMP_Min,MANU_Max,MANU_Min,OFFI_Max,OFFI_Min,OTHEMP_Max,OTHEMP_Min,OTHR_Max,OTHR_Min,RETEMP_Max,RETEMP_Min,RETL_Max,RETL_Min,TOTEMP_Max,TOTEMP_Min,TOTEMP_Range,TOTHH_Max,TOTHH_Min,TOTHH_Range,WSLE_Max,WSLE_Min,CO_TAZID,CO_FIPS,CO_NAME
1009,6757.673928,2466.314881,45129,45129,0,0,0,0,0,0,0,0,280.6739278,174.3148807,0,0,313,8,1477,650,0,0,0,0,0,0,17,0,2363,939,602,178,1183,522,3738,1345,1061,173,376,8,63,0,6477,2292,4185,0,0,0,1761,761,350104,35,SALT LAKE
3009,4757.977129,420.3320971,56681,56681,0,0,0,0,0,0,0,0,267.9291193,130.3017991,0,0,54,19,110,12,116.0480093,61.03029801,4996.774131,2717.231885,2.636820122,2.703713318,383,50,237,33,221,29,1279,5,3773,170,2001,103,364,26,310,7,4374,229,4145,1895,1005,890,16,4,490793,49,UTAH
1026,4531.051096,291.6864083,42543,42543,0,0,0,0,0,0,0,0,267.0635575,64.69470123,0,0,253,1,24,10,70.98753894,53.99170707,2118.303891,1429.130239,2.168171843,1.910601924,90,0,197,19,60,15,2340,26,3674,152,1220,116,322,2,69,1,4193,173,4020,977,748,229,137,4,350121,35,SALT LAKE
956,11552.26867,7390.999033,45129,45129,0,0,0,0,0,0,104.65,101.5043695,702.6186696,548.4946634,0,0,815,68,4158,3107,0,0,0,0,0,0,56,3,1974,918,1399,688,2859,2013,7956,5755,883,632,815,68,0,0,10745,6741,4004,0,0,0,575,230,350051,35,SALT LAKE
1891,5706.435591,1635.539989,69002,69002,310,310,91,91,222,222,0,0,254.4278873,131.5482803,0,0,447,93,330,143,27.00770396,26.99170834,1014.056982,997.4543303,2.696960058,2.695822514,1119,218,29,21,9,4,1545,165,4355,1235,1361,709,1041,221,594,128,5425,1477,3948,376,370,6,20,17,350986,35,SALT LAKE
1832,5966.917485,1853.099242,57947,57947,0,0,0,0,0,0,0,0,274.9134902,118.0995933,0,0,527,282,338,18,14.00399464,1.999648984,429.5206352,73.65258678,2.296901793,2.455086226,52,18,52,3,52,3,334,121,1946,406,1222,249,3680,1324,3153,1042,5678,1733,3945,187,30,157,0,0,350927,35,SALT LAKE
2140,10747.29765,6871.429686,148008,148008,0,0,0,0,0,0,0,0,447.2976544,443.4296855,0,0,1421,33,2850,2033,0,0,0,0,0,0,5369,4305,21,0,17,0,546,49,8856,6395,91,8,1423,33,2,0,10300,6428,3872,0,0,0,4,0,351235,35,SALT LAKE
2083,4613.982948,667.7033238,127846,127846,0,0,0,0,0,0,25.12484395,8.044971893,173.8462741,79.65492789,0,0,1394,89,75,19,49.01182977,12.00342398,1768.261395,446.1955711,2.608055155,2.609330825,1727,169,119,31,5,0,171,13,2584,445,611,244,1663,92,269,3,4366,568,3798,678,171,507,114,31,351178,35,SALT LAKE
1115,4154.263108,168.758462,50921,50921,0,0,0,0,0,0,0,0,237.2913608,70.74349372,0,0,36,2,9,0,91.97174695,62.01496829,3077.144435,2171.128402,2.428685426,2.53340537,2,0,256,27,197,16,1702,6,3532,7,1819,1,37,2,1,0,3825,36,3789,1267,857,410,59,11,350210,35,SALT LAKE
1767,8132.344332,4455.558621,56502,56502,0,0,0,0,0,0,106.6625,102.5093633,394.6874482,322.058778,0,0,382,2,564,393,31.99438375,30.99047995,1242.973955,1224.350011,2.857411392,2.834143545,23,1,2571,1770,1831,1117,1371,758,4088,2213,2130,1061,940,17,558,15,7599,4000,3599,435,432,3,740,653,350862,35,SALT LAKE
1745,4192.615087,494.9471701,81590,81590,0,0,0,0,0,0,22.10986267,20.09987516,189.4872479,86.83956934,0,0,54,2,101,8,63.0179759,32.00772557,2191.889081,1158.030953,2.507882243,2.602316747,116,8,816,58,686,35,687,11,2753,261,1849,234,349,37,295,35,3918,356,3562,874,445,429,130,23,350840,35,SALT LAKE
975,8001.441011,4548.729699,45129,45129,0,0,0,0,0,0,0,0,424.4410105,292.7296994,0,0,268,10,2964,1906,0,0,0,0,0,0,24,2,1453,634,1200,501,2513,1479,5856,3612,355,225,268,10,0,0,7577,4256,3321,0,0,0,253,133,350070,35,SALT LAKE
1908,5246.903184,1753.986134,78814,78814,0,0,0,0,0,0,0,0,257.8186812,156.8896525,175.0964813,175.0964813,595,141,383,55,77.98802132,0,2668.603922,0,2.487049322,0,263,43,33,6,19,6,1591,579,3784,1222,1547,545,919,194,324,53,4736,1422,3314,1073,0,1073,14,0,351003,35,SALT LAKE
807,3818.141754,368.7306434,55206,55206,0,0,0,0,0,0,0,0,202.115573,71.72540907,0,0,211,44,601,15,44.02618113,22.00523436,2510.056578,1322.514195,2.441689278,2.583035537,250,4,6,0,6,0,489,36,2249,118,909,63,1317,157,1106,113,3572,275,3297,1028,512,516,0,0,110226,11,DAVIS
2082,4687.038488,1328.897568,86391,86391,0,0,0,0,0,0,7.034956305,4.022485946,229.9861489,150.8624401,0,0,1137,218,33,9,72.01738253,48.01264211,2530.902772,1711.313041,2.556467447,2.56184587,602,26,37,20,2,0,363,8,1593,193,595,150,2748,913,1611,695,4378,1126,3252,990,668,322,35,20,351177,35,SALT LAKE
615,3887.235617,462.4049056,96912,96912,0,0,0,0,0,0,2.008902077,1.991176471,212.2188631,57.41063612,0,0,413,72,242,5,33.00785153,13.00309303,1861.447675,781.9469619,2.426920046,2.597830438,1257,27,3,0,1,0,91,1,2827,189,1237,156,810,201,397,129,3640,390,3250,767,301,466,2,0,110034,11,DAVIS
985,5375.404824,2036.605332,38845,38845,0,0,0,0,0,0,0,0,241.3765772,186.6162356,0,0,105,37,1552,1426,117.0282466,70.98909633,3688.496651,2245.398459,2.281073996,2.286556475,76,18,141,21,50,1,522,13,3554,1677,1404,220,1322,81,1217,44,5017,1779,3238,1617,982,635,91,20,350080,35,SALT LAKE
710,4253.413849,845.1835948,50717,50717,0,0,0,0,0,0,0,0,291.3605223,134.1724123,0,0,358,104,154,18,64.05332698,47.01118249,3647.430623,2596.791253,2.420325563,2.369335084,866,15,27,2,7,0,966,73,2687,248,701,142,1184,414,826,310,3898,664,3234,1507,1096,411,20,2,110129,11,DAVIS
600,5567.637421,2270.511883,97584,97584,0,0,0,0,0,0,15.06676558,11.97347089,316.6191461,248.5248504,0,0,819,404,243,87,67.95150939,57.01356174,3838.391486,3277.453558,2.418646179,2.436768445,1182,281,90,15,53,2,1004,228,3717,1274,1288,678,1361,664,542,260,5168,1953,3215,1587,1345,242,37,13,110019,11,DAVIS
711,3517.257789,202.3449609,51122,51122,0,0,0,0,0,0,0,0,149.2473199,58.36706693,0,0,744,21,59,1,44.01046871,30.97789399,2578.441564,1777.834913,2.476889111,2.4795466,1138,5,1,0,0,0,597,0,2145,22,351,16,1178,91,434,70,3324,113,3211,1041,717,324,1,0,110130,11,DAVIS
